experiment,d,kappa,stable_spectrum,stable_min,stable_max,rotation_seed,rotation_id,start_id,trial,start_seed,run_seed,method,eta,hisd_sweep_eta,eta_v,n_inner,n_grad_samples,n_hv_samples,l,tol,max_iter,x0_mode,unstable_scale,stable_scale,x0_norm,y0_unstable_abs,y0_stable_norm,converged,iterations,func_evals,true_grad_norm,hessian_index,index_ok,grad_ok,min_hessian_eval,max_hessian_eval
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,789,2,2,12,102300,102300,DF-ADAM-H,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.7220732569694519,0.657251238822937,0.2990160584449768,True,1672,117040,9.827996836975217e-05,1,True,True,-10.0,0.1999995857477188
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,789,2,2,12,102300,102300,DF-ADAM-FC,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.7220732569694519,0.657251238822937,0.2990160584449768,True,1713,119910,9.824815060710534e-05,1,True,True,-10.0,0.1999995857477188
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,789,2,2,12,102300,102300,DF-HiSD,0.02,0.02,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.7220732569694519,0.657251238822937,0.2990160584449768,True,2496,174720,9.738874359754845e-05,1,True,True,-10.0,0.1999995857477188
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,789,2,3,13,102400,102400,DF-ADAM-H,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.7360154986381531,0.646873950958252,0.35110238194465637,True,2021,141470,9.968401718651876e-05,1,True,True,-10.0,0.1999995857477188
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,789,2,3,13,102400,102400,DF-ADAM-FC,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.7360154986381531,0.646873950958252,0.35110238194465637,False,5000,350000,1728.397705078125,1,True,False,-10.0,0.1999995857477188
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,789,2,3,13,102400,102400,DF-HiSD,0.02,0.02,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.7360154986381531,0.646873950958252,0.35110238194465637,True,2664,186480,9.951060928869992e-05,1,True,True,-10.0,0.1999995857477188
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,789,2,4,14,102500,102500,DF-ADAM-H,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.7117436528205872,0.6432796716690063,0.3045821785926819,True,1009,70630,9.234157187165692e-05,1,True,True,-10.0,0.1999995857477188
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,789,2,4,14,102500,102500,DF-ADAM-FC,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.7117436528205872,0.6432796716690063,0.3045821785926819,True,1100,77000,9.344015415990725e-05,1,True,True,-10.0,0.1999995857477188
randomly_rotated_anisotropic_quadratic,10,100,logspace,0.1,0.2,789,2,4,14,102500,102500,DF-HiSD,0.02,0.02,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.7117436528205872,0.6432796716690063,0.3045821785926819,True,2496,174720,9.991263505071402e-05,1,True,True,-10.0,0.1999995857477188
randomly_rotated_anisotropic_quadratic,10,500,logspace,0.02,0.2,123,0,0,0,100500,100500,DF-ADAM-H,0.02,,0.01,5,5,3,0.0001,0.0001,5000,eigenbasis_pollution,0.5,0.1,0.7950291037559509,0.5972332954406738,0.524770200252533,True,3144,220080,9.858159319264814e-05,1,True,True,-9.99999713897705,0.19999991357326508
