experiment,d,kappa,lambda2,theta_deg,index_k,method,trial,seed,run_seed,init_seed,eta,eta_v,n_inner,n_grad_samples,n_hv_samples,l,tol,max_iter,rotation_scheme,hisd_eta_selected,hisd_pilot_n,hisd_pilot_success_count,hisd_eta_selection_rule,converged,iterations,g_norm,func_evals,true_grad_norm,hessian_index,index_ok,grad_ok,min_hessian_eval,max_hessian_eval
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,15,15142,15142,10057,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1906,0.000998293049633503,133420,0.000998293049633503,1,True,True,-2.0,0.022739388048648834
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,16,16142,16142,10058,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,False,1692,0.0009996872395277023,118440,0.0009996872395277023,0,False,True,0.02008405700325966,4.000249862670898
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,17,17142,17142,10059,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,812,0.0009979020105674863,56840,0.0009979020105674863,1,True,True,-2.0,0.0225787702947855
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,18,18142,18142,10060,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,False,1763,0.0009898367570713162,123410,0.0009898367570713162,0,False,True,0.02026022970676422,4.000115394592285
higher_index_rotated,10,100,0.02,30.0,1,DF-ADAM-FC,19,19142,19142,10061,0.01,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,2636,0.0009990971302613616,184520,0.0009990971302613616,1,True,True,-2.0,0.025636164471507072
higher_index_rotated,10,100,0.02,30.0,1,DF-HiSD,0,142,142,10042,0.1,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,969,0.0009961228352040052,67830,0.0009961228352040052,1,True,True,-2.0,0.02106310799717903
higher_index_rotated,10,100,0.02,30.0,1,DF-HiSD,1,1142,1142,10043,0.1,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1042,0.0009943715995177627,72940,0.0009943715995177627,1,True,True,-2.0,0.02129564993083477
higher_index_rotated,10,100,0.02,30.0,1,DF-HiSD,2,2142,2142,10044,0.1,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1049,0.0009972647530958056,73430,0.0009972647530958056,1,True,True,-2.0,0.02121984213590622
higher_index_rotated,10,100,0.02,30.0,1,DF-HiSD,3,3142,3142,10045,0.1,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,False,1377,0.0009943826589733362,96390,0.0009943826589733362,0,False,True,0.020229198038578033,4.000246524810791
higher_index_rotated,10,100,0.02,30.0,1,DF-HiSD,4,4142,4142,10046,0.1,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,False,1318,0.0009872250957414508,92260,0.0009872250957414508,0,False,True,0.020003970712423325,4.000157356262207
higher_index_rotated,10,100,0.02,30.0,1,DF-HiSD,5,5142,5142,10047,0.1,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,False,1378,0.0009991335682570934,96460,0.0009991335682570934,0,False,True,0.020045630633831024,4.000103950500488
higher_index_rotated,10,100,0.02,30.0,1,DF-HiSD,6,6142,6142,10048,0.1,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,983,0.0009915261762216687,68810,0.0009915261762216687,1,True,True,-2.0,0.021155769005417824
higher_index_rotated,10,100,0.02,30.0,1,DF-HiSD,7,7142,7142,10049,0.1,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,985,0.0009957138681784272,68950,0.0009957138681784272,1,True,True,-2.0,0.021046921610832214
higher_index_rotated,10,100,0.02,30.0,1,DF-HiSD,8,8142,8142,10050,0.1,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,986,0.0009991130791604519,69020,0.0009991130791604519,1,True,True,-2.0,0.02129806950688362
higher_index_rotated,10,100,0.02,30.0,1,DF-HiSD,9,9142,9142,10051,0.1,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,941,0.000994222005829215,65870,0.000994222005829215,1,True,True,-2.0,0.021330945193767548
higher_index_rotated,10,100,0.02,30.0,1,DF-HiSD,10,10142,10142,10052,0.1,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,956,0.0009979341411963105,66920,0.0009979341411963105,1,True,True,-2.0,0.021274855360388756
higher_index_rotated,10,100,0.02,30.0,1,DF-HiSD,11,11142,11142,10053,0.1,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1070,0.0009985101642087102,74900,0.0009985101642087102,1,True,True,-2.0,0.021038193255662918
higher_index_rotated,10,100,0.02,30.0,1,DF-HiSD,12,12142,12142,10054,0.1,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1070,0.000993463210761547,74900,0.000993463210761547,1,True,True,-2.0,0.021001441404223442
higher_index_rotated,10,100,0.02,30.0,1,DF-HiSD,13,13142,13142,10055,0.1,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1000,0.0009892627131193876,70000,0.0009892627131193876,1,True,True,-2.0,0.02105160616338253
higher_index_rotated,10,100,0.02,30.0,1,DF-HiSD,14,14142,14142,10056,0.1,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,974,0.0009990341495722532,68180,0.0009990341495722532,1,True,True,-2.0,0.021328896284103394
higher_index_rotated,10,100,0.02,30.0,1,DF-HiSD,15,15142,15142,10057,0.1,0.01,5,5,3,0.0001,0.001,3000,unstable_stable_pair_v1,0.1,5,3,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1029,0.0009937947615981102,72030,0.0009937947615981102,1,True,True,-2.0,0.021192723885178566
