experiment,d,kappa,lambda2,k,target_index,theta_deg,method,eta,eta_v,n_inner,n_grad_samples,n_hv_samples,l,tol,max_iter,trial,seed,init_seed,converged,iterations,g_norm,func_evals,true_grad_norm,hessian_index,index_ok,grad_ok,min_hessian_eval,max_hessian_eval,failure_reason
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.001,0.01,5,5,3,0.0001,0.001,3000,3,3042,50045,False,3000,0.0098618408665061,210000,0.0098618408665061,1,True,False,-1.999998927116394,0.08858926594257355,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.001,0.01,5,5,3,0.0001,0.001,3000,4,4042,50046,False,3000,0.05763320252299309,210000,0.05763320252299309,1,True,False,-1.9999943971633911,0.35224395990371704,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.001,0.01,5,5,3,0.0001,0.001,3000,5,5042,50047,False,3000,0.012824524194002151,210000,0.012824524194002151,0,False,False,0.020520854741334915,4.000278472900391,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.001,0.01,5,5,3,0.0001,0.001,3000,6,6042,50048,False,3000,0.050240419805049896,210000,0.050240419805049896,1,True,False,-1.9999973773956299,0.32063230872154236,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.001,0.01,5,5,3,0.0001,0.001,3000,7,7042,50049,False,3000,0.03757910057902336,210000,0.03757910057902336,0,False,False,0.032794803380966187,3.996696949005127,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.001,0.01,5,5,3,0.0001,0.001,3000,8,8042,50050,False,3000,0.019198479130864143,210000,0.019198479130864143,1,True,False,-1.9999985694885254,0.16836367547512054,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.001,0.01,5,5,3,0.0001,0.001,3000,9,9042,50051,False,3000,0.0159263014793396,210000,0.0159263014793396,0,False,False,0.024865638464689255,3.9962544441223145,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.001,0.01,5,5,3,0.0001,0.001,3000,10,10042,50052,False,3000,0.019285015761852264,210000,0.019285015761852264,1,True,False,-2.0,0.16432271897792816,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.001,0.01,5,5,3,0.0001,0.001,3000,11,11042,50053,False,3000,0.031284164637327194,210000,0.031284164637327194,1,True,False,-1.9999995231628418,0.2131144255399704,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.005,0.01,5,5,3,0.0001,0.001,3000,0,42,50042,True,1964,0.0009985758224502206,137480,0.0009985758224502206,1,True,True,-2.0,0.025587210431694984,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.005,0.01,5,5,3,0.0001,0.001,3000,1,1042,50043,True,2201,0.0009951851097866893,154070,0.0009951851097866893,1,True,True,-2.0,0.023951422423124313,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.005,0.01,5,5,3,0.0001,0.001,3000,2,2042,50044,True,1042,0.0009970375103875995,72940,0.0009970375103875995,1,True,True,-2.0,0.024416934698820114,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.005,0.01,5,5,3,0.0001,0.001,3000,3,3042,50045,True,1764,0.0009913155809044838,123480,0.0009913155809044838,1,True,True,-2.0,0.02321072854101658,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.005,0.01,5,5,3,0.0001,0.001,3000,4,4042,50046,False,3000,0.0017350177513435483,210000,0.0017350177513435483,1,True,False,-2.0,0.030970782041549683,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.005,0.01,5,5,3,0.0001,0.001,3000,5,5042,50047,False,2015,0.0009966884972527623,141050,0.0009966884972527623,0,False,True,0.02000807598233223,4.0003790855407715,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.005,0.01,5,5,3,0.0001,0.001,3000,6,6042,50048,False,3000,0.0014009169535711408,210000,0.0014009169535711408,1,True,False,-1.999999761581421,0.02667277306318283,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.005,0.01,5,5,3,0.0001,0.001,3000,7,7042,50049,False,3000,0.0018124630441889167,210000,0.0018124630441889167,0,False,False,0.020051315426826477,4.000409126281738,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.005,0.01,5,5,3,0.0001,0.001,3000,8,8042,50050,True,2337,0.0009998166933655739,163590,0.0009998166933655739,1,True,True,-2.0,0.024841003119945526,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.005,0.01,5,5,3,0.0001,0.001,3000,9,9042,50051,False,2482,0.0009939855663105845,173740,0.0009939855663105845,0,False,True,0.020165396854281425,4.00018310546875,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.005,0.01,5,5,3,0.0001,0.001,3000,10,10042,50052,True,2454,0.0009981844341382384,171780,0.0009981844341382384,1,True,True,-2.0,0.024837009608745575,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.005,0.01,5,5,3,0.0001,0.001,3000,11,11042,50053,True,2862,0.0009952873224392533,200340,0.0009952873224392533,1,True,True,-2.0,0.024104619398713112,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.01,0.01,5,5,3,0.0001,0.001,3000,0,42,50042,True,1033,0.0009993230924010277,72310,0.0009993230924010277,1,True,True,-2.0,0.025561770424246788,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.01,0.01,5,5,3,0.0001,0.001,3000,1,1042,50043,True,1121,0.0009916148846969008,78470,0.0009916148846969008,1,True,True,-2.0,0.024219084531068802,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.01,0.01,5,5,3,0.0001,0.001,3000,2,2042,50044,True,537,0.0009925364283844829,37590,0.0009925364283844829,1,True,True,-2.0,0.02293248102068901,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.01,0.01,5,5,3,0.0001,0.001,3000,3,3042,50045,True,929,0.0009856214746832848,65030,0.0009856214746832848,1,True,True,-2.0,0.023105314001441002,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.01,0.01,5,5,3,0.0001,0.001,3000,4,4042,50046,True,2079,0.0009997468441724777,145530,0.0009997468441724777,1,True,True,-2.0,0.02536081150174141,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.01,0.01,5,5,3,0.0001,0.001,3000,5,5042,50047,False,1551,0.0009962253971025348,108570,0.0009962253971025348,0,False,True,0.0200614333152771,4.000344276428223,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.01,0.01,5,5,3,0.0001,0.001,3000,6,6042,50048,True,1883,0.0009806908201426268,131810,0.0009806908201426268,1,True,True,-2.0,0.023750901222229004,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.01,0.01,5,5,3,0.0001,0.001,3000,7,7042,50049,False,2019,0.000994667294435203,141330,0.000994667294435203,0,False,True,0.02000015415251255,3.999734878540039,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.01,0.01,5,5,3,0.0001,0.001,3000,8,8042,50050,True,1346,0.0009962301701307297,94220,0.0009962301701307297,1,True,True,-2.0,0.02323978580534458,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.01,0.01,5,5,3,0.0001,0.001,3000,9,9042,50051,False,1504,0.00098975480068475,105280,0.00098975480068475,0,False,True,0.020024748519062996,4.000269412994385,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.01,0.01,5,5,3,0.0001,0.001,3000,10,10042,50052,True,1381,0.0009875157848000526,96670,0.0009875157848000526,1,True,True,-2.0,0.02482384815812111,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.01,0.01,5,5,3,0.0001,0.001,3000,11,11042,50053,True,1665,0.0009960202733054757,116550,0.0009960202733054757,1,True,True,-2.0,0.024020887911319733,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.02,0.01,5,5,3,0.0001,0.001,3000,0,42,50042,True,527,0.000992634566500783,36890,0.000992634566500783,1,True,True,-2.0,0.024950314313173294,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.02,0.01,5,5,3,0.0001,0.001,3000,1,1042,50043,True,534,0.0009904700564220548,37380,0.0009904700564220548,1,True,True,-2.0,0.02411389723420143,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.02,0.01,5,5,3,0.0001,0.001,3000,2,2042,50044,True,312,0.000998987816274166,21840,0.000998987816274166,1,True,True,-1.999999761581421,0.022533884271979332,
stepsize_sweep,10,100,0.02,1,1,30.0,DF-ADAM-FC,0.02,0.01,5,5,3,0.0001,0.001,3000,3,3042,50045,True,441,0.0009920349111780524,30870,0.0009920349111780524,1,True,True,-2.0,0.023217692971229553,
