experiment,d,kappa,lambda2,theta_deg,method,trial,seed,run_seed,init_seed,eta,eta_v,n_inner,n_grad_samples,n_hv_samples,l,tol,max_iter,rotation_scheme,hisd_eta_selected,hisd_pilot_n,hisd_pilot_success_count,hisd_eta_selection_rule,converged,iterations,g_norm,func_evals,true_grad_norm,hessian_index,index_ok,grad_ok,min_hessian_eval,max_hessian_eval
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,15,15052,15052,100057,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1006,0.0009944401681423187,70420,0.0009944401681423187,1,True,True,-2.0,0.20007169246673584
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,16,16052,16052,100058,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,650,0.0009943946497514844,45500,0.0009943946497514844,1,True,True,-2.0,0.20006786286830902
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,17,17052,17052,100059,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,812,0.0009927983628585935,56840,0.0009927983628585935,1,True,True,-2.0,0.20007041096687317
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,18,18052,18052,100060,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,767,0.0009925680933520198,53690,0.0009925680933520198,1,True,True,-2.0,0.20007185637950897
rotated_quartic,10,10,0.2,30.0,DF-ADAM-FC,19,19052,19052,100061,0.01,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,1742,0.0009988012025132775,121940,0.0009988012025132775,1,True,True,-2.0,0.20007175207138062
rotated_quartic,10,10,0.2,30.0,DF-HiSD,0,52,52,100042,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,260,0.0009905413025990129,18200,0.0009905413025990129,1,True,True,-2.0,0.20001846551895142
rotated_quartic,10,10,0.2,30.0,DF-HiSD,1,1052,1052,100043,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,226,0.0009988354286178946,15820,0.0009988354286178946,1,True,True,-2.0,0.2000259906053543
rotated_quartic,10,10,0.2,30.0,DF-HiSD,2,2052,2052,100044,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,275,0.000947479042224586,19250,0.000947479042224586,1,True,True,-1.9999998807907104,0.20001614093780518
rotated_quartic,10,10,0.2,30.0,DF-HiSD,3,3052,3052,100045,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,244,0.0009952550753951073,17080,0.0009952550753951073,1,True,True,-2.0,0.20003323256969452
rotated_quartic,10,10,0.2,30.0,DF-HiSD,4,4052,4052,100046,0.1,0.01,5,5,3,0.0001,0.001,3000,plane_0_1_theta_30_v1,0.1,5,5,max certified success_count; min median_success_iterations; min total_final_grad_norm; min eta,True,258,0.0009611711720936,18060,0.0009611711720936,1,True,True,-2.0,0.20002351701259613
