experiment,d,kappa,lambda1,lambda_plus,selection_rule,n_quick,candidates,eta,quick_seed,converged,iterations,true_grad_norm,func_evals,hessian_index
df_quadratic_kappa,10,500,-10.0,0.02,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,42,False,3000,0.019684667569750482,210000,1
df_quadratic_kappa,10,500,-10.0,0.02,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,1041,False,3000,0.021486489040556712,210000,1
df_quadratic_kappa,10,500,-10.0,0.02,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,2040,False,3000,0.02097362524155045,210000,1
df_quadratic_kappa,10,500,-10.0,0.02,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,42,False,3000,0.014241547587835749,210000,1
df_quadratic_kappa,10,500,-10.0,0.02,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,1041,False,3000,0.01668781191094864,210000,1
df_quadratic_kappa,10,500,-10.0,0.02,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,2040,False,3000,0.015856868836810725,210000,1
df_quadratic_kappa,10,500,-10.0,0.02,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,42,False,3000,0.00822715306433016,210000,1
df_quadratic_kappa,10,500,-10.0,0.02,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,1041,False,3000,0.009335219263563429,210000,1
df_quadratic_kappa,10,500,-10.0,0.02,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,2040,False,3000,0.008742183710705825,210000,1
df_quadratic_kappa,10,500,-10.0,0.02,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,42,False,3000,0.0018275840226731285,210000,1
df_quadratic_kappa,10,500,-10.0,0.02,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,1041,False,3000,0.0013340977029138747,210000,1
df_quadratic_kappa,10,500,-10.0,0.02,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,2040,False,3000,0.0012473589717652877,210000,1
df_quadratic_kappa,10,500,-10.0,0.02,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,42,True,2977,9.833142093670573e-05,208390,1
df_quadratic_kappa,10,500,-10.0,0.02,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,1041,True,2727,9.881777052350738e-05,190890,1
df_quadratic_kappa,10,500,-10.0,0.02,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,2040,True,2746,9.795460979896784e-05,192220,1
df_quadratic_kappa,10,1000,-10.0,0.01,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,42,False,3000,0.019363508711821582,210000,1
df_quadratic_kappa,10,1000,-10.0,0.01,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,1041,False,3000,0.019023267976819993,210000,1
df_quadratic_kappa,10,1000,-10.0,0.01,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.005,2040,False,3000,0.01939358360704901,210000,1
df_quadratic_kappa,10,1000,-10.0,0.01,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,42,False,3000,0.016668320547849523,210000,1
df_quadratic_kappa,10,1000,-10.0,0.01,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,1041,False,3000,0.016115654228930854,210000,1
df_quadratic_kappa,10,1000,-10.0,0.01,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.01,2040,False,3000,0.016743290126487533,210000,1
df_quadratic_kappa,10,1000,-10.0,0.01,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,42,False,3000,0.012251204658288644,210000,1
df_quadratic_kappa,10,1000,-10.0,0.01,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,1041,False,3000,0.0117751327292968,210000,1
df_quadratic_kappa,10,1000,-10.0,0.01,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.02,2040,False,3000,0.01257431755416751,210000,1
df_quadratic_kappa,10,1000,-10.0,0.01,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,42,False,3000,0.005125936251576623,210000,1
df_quadratic_kappa,10,1000,-10.0,0.01,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,1041,False,3000,0.0047947921407461205,210000,1
df_quadratic_kappa,10,1000,-10.0,0.01,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.05,2040,False,3000,0.005114719368372306,210000,1
df_quadratic_kappa,10,1000,-10.0,0.01,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,42,False,3000,0.0012389452785616071,210000,1
df_quadratic_kappa,10,1000,-10.0,0.01,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,1041,False,3000,0.0010272618725696862,210000,1
df_quadratic_kappa,10,1000,-10.0,0.01,success_rate_then_mean_success_iters_then_final_grad_norm,3,"[0.005, 0.01, 0.02, 0.05, 0.1]",0.1,2040,False,3000,0.0010617614850755744,210000,1
